iter	Passed	Remaining
667	3413	1696
668	3417	1691
669	3423	1686
670	3428	1681
671	3433	1675
672	3438	1670
673	3443	1665
674	3448	1660
675	3452	1654
676	3457	1649
677	3462	1644
678	3467	1639
679	3472	1633
680	3476	1628
681	3481	1623
682	3486	1618
683	3491	1612
684	3496	1607
685	3501	1602
686	3505	1597
687	3510	1591
688	3515	1586
689	3520	1581
690	3525	1576
691	3530	1571
692	3534	1565
693	3539	1560
694	3545	1555
695	3549	1550
696	3555	1545
697	3559	1540
698	3564	1534
699	3569	1529
700	3574	1524
701	3579	1519
702	3584	1514
703	3589	1509
704	3594	1504
705	3600	1499
706	3604	1494
707	3609	1488
708	3614	1483
709	3619	1478
710	3624	1473
711	3629	1467
712	3634	1462
713	3639	1457
714	3644	1452
715	3649	1447
716	3654	1442
717	3659	1437
718	3664	1432
719	3669	1427
720	3674	1421
721	3679	1416
722	3683	1411
723	3688	1406
724	3693	1401
725	3697	1395
726	3703	1390
727	3708	1385
728	3713	1380
729	3718	1375
730	3723	1370
731	3728	1364
732	3733	1359
733	3738	1354
734	3742	1349
735	3748	1344
736	3754	1339
737	3759	1334
738	3765	1329
739	3770	1324
740	3775	1319
741	3781	1314
742	3787	1310
743	3793	1305
744	3800	1300
745	3806	1296
746	3813	1291
747	3819	1286
748	3824	1281
749	3830	1276
750	3835	1271
751	3840	1266
752	3845	1261
753	3850	1256
754	3855	1251
755	3860	1245
756	3865	1240
757	3871	1235
758	3875	1230
759	3881	1225
760	3886	1220
761	3890	1215
762	3895	1210
763	3900	1204
764	3905	1199
765	3910	1194
766	3915	1189
767	3920	1184
768	3925	1179
769	3930	1174
770	3935	1168
771	3939	1163
772	3944	1158
773	3948	1153
774	3953	1147
775	3959	1142
776	3963	1137
777	3968	1132
778	3974	1127
779	3978	1122
780	3983	1117
781	3988	1111
782	3993	1106
783	3998	1101
784	4003	1096
785	4008	1091
786	4012	1085
787	4016	1080
788	4021	1075
789	4026	1070
790	4030	1065
791	4035	1059
792	4039	1054
793	4044	1049
794	4048	1044
795	4053	1038
796	4058	1033
797	4062	1028
798	4067	1023
799	4071	1017
800	4077	1012
801	4081	1007
802	4086	1002
803	4090	997
804	4095	991
805	4099	986
806	4104	981
807	4109	976
808	4114	971
809	4118	966
810	4123	960
811	4127	955
812	4132	950
813	4136	945
814	4141	940
815	4146	935
816	4151	929
817	4156	924
818	4161	919
819	4166	914
820	4170	909
821	4175	904
822	4179	898
823	4184	893
824	4189	888
825	4194	883
826	4199	878
827	4204	873
828	4210	868
829	4217	863
830	4222	858
831	4226	853
832	4231	848
833	4236	843
834	4241	838
835	4246	833
836	4251	827
837	4255	822
838	4260	817
